FlowmeterSensorID,Date,Site,Width_m,WidthInterval_m,Depth_cm,Velocity,Velocity_unit,Depth_m,Velocity_m/s,Discharge,Notes
Model FP III,4/15/2019,F200,1.2,0.1,25,0.9,ft_s,,,,
Model FP III,4/15/2019,F200,1.3,0.1,27,1.5,ft_s,,,,
Model FP III,4/15/2019,F200,1.4,0.1,31,1.5,ft_s,,,,
Model FP III,4/15/2019,F200,1.5,0.1,33,1.7,ft_s,,,,
Model FP III,4/15/2019,F200,1.6,0.1,36,1.1,ft_s,,,,
Model FP III,4/15/2019,F200,1.7,0.1,39,1.7,ft_s,,,,
Model FP III,4/15/2019,F200,1.8,0.1,40,1.7,ft_s,,,,
Model FP III,4/15/2019,F200,1.9,0.1,35,1.5,ft_s,,,,
Model FP III,4/15/2019,F200,2,0.1,32,0.4,ft_s,,,,
Model FP III,4/15/2019,F200,2.1,0.1,21,1.3,ft_s,,,,
Model FP III,4/15/2019,F200,2.2,0.1,0,0,ft_s,,,,
Model FP III,4/22/2019,F200,0,0.1,1,0,ft_s,,,,
Model FP III,4/22/2019,F200,0.1,0.1,4.5,0,ft_s,,,,
Model FP III,4/22/2019,F200,0.2,0.1,4,0,ft_s,,,,
Model FP III,4/22/2019,F200,0.3,0.1,5.5,0,ft_s,,,,
Model FP III,4/22/2019,F200,0.4,0.1,7,0.2,ft_s,,,,
Model FP III,4/22/2019,F200,0.5,0.1,9.5,0,ft_s,,,,
Model FP III,4/22/2019,F200,0.6,0.1,15.7,0.2,ft_s,,,,
Model FP III,4/22/2019,F200,0.7,0.1,13,0.4,ft_s,,,,
Model FP III,4/22/2019,F200,0.8,0.1,15.2,0.6,ft_s,,,,
Model FP III,4/22/2019,F200,0.9,0.1,15.4,0.8,ft_s,,,,
Model FP III,4/22/2019,F200,1,0.1,15,0.9,ft_s,,,,
Model FP III,4/22/2019,F200,1.1,0.1,16,0.9,ft_s,,,,
Model FP III,4/22/2019,F200,1.2,0.1,16,0.9,ft_s,,,,
Model FP III,4/22/2019,F200,1.3,0.1,15.5,0.8,ft_s,,,,
Model FP III,4/22/2019,F200,1.4,0.1,16.3,1.3,ft_s,,,,
Model FP III,4/22/2019,F200,1.5,0.1,15.7,1.1,ft_s,,,,
Model FP III,4/22/2019,F200,1.6,0.1,19,1.3,ft_s,,,,
Model FP III,4/22/2019,F200,1.7,0.1,23,1.5,ft_s,,,,
Model FP III,4/22/2019,F200,1.8,0.1,25,1.3,ft_s,,,,
Model FP III,4/22/2019,F200,1.9,0.1,25.3,0.9,ft_s,,,,
Model FP III,4/22/2019,F200,2,0.1,23.9,0.4,ft_s,,,,
Model FP III,4/22/2019,F200,2.1,0.1,17.8,0.2,ft_s,,,,
Model FP III,4/22/2019,F200,2.2,0.1,4.5,0,ft_s,,,,
Model FP III,4/22/2019,F200,2.3,0.1,1,0,ft_s,,,,
Model FP III,4/29/2019,F200,0,0.1,0,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F200,0.1,0.1,2.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F200,0.2,0.1,5.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F200,0.3,0.1,6,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F200,0.4,0.1,9,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F200,0.5,0.1,11,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F200,0.6,0.1,13,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F200,0.7,0.1,12,0.2,ft_s,,,,
Model FP III,4/29/2019,F200,0.8,0.1,10,0.2,ft_s,,,,
Model FP III,4/29/2019,F200,0.9,0.1,10,0.4,ft_s,,,,
Model FP III,4/29/2019,F200,1,0.1,11,0.6,ft_s,,,,
Model FP III,4/29/2019,F200,1.1,0.1,12,0.6,ft_s,,,,
Model FP III,4/29/2019,F200,1.2,0.1,14,0.7,ft_s,,,,
Model FP III,4/29/2019,F200,1.3,0.1,14.5,0.8,ft_s,,,,
Model FP III,4/29/2019,F200,1.4,0.1,17.5,0.7,ft_s,,,,
Model FP III,4/29/2019,F200,1.5,0.1,18.5,0.7,ft_s,,,,
Model FP III,4/29/2019,F200,1.6,0.1,15,0.8,ft_s,,,,
Model FP III,4/29/2019,F200,1.7,0.1,16,0.9,ft_s,,,,
Model FP III,4/29/2019,F200,1.8,0.1,21,0.8,ft_s,,,,
Model FP III,4/29/2019,F200,1.9,0.1,22,0.4,ft_s,,,,
Model FP III,4/29/2019,F200,2,0.1,12,0,ft_s,,,,
Model FP III,4/29/2019,F200,2.1,0.1,0.5,0,ft_s,,,,
Model FP III,4/29/2019,F99,0,0.1,0,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F99,0.1,0.1,7.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F99,0.2,0.1,7,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F99,0.3,0.1,6.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F99,0.4,0.1,5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F99,0.5,0.1,4.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F99,0.6,0.1,6.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,4/29/2019,F99,0.7,0.1,11,0,ft_s,,,,
Model FP III,4/29/2019,F99,0.8,0.1,17,0.6,ft_s,,,,
Model FP III,4/29/2019,F99,0.9,0.1,15,0.6,ft_s,,,,
Model FP III,4/29/2019,F99,1,0.1,11.5,0.4,ft_s,,,,
Model FP III,4/29/2019,F99,1.1,0.1,11,0.6,ft_s,,,,
Model FP III,4/29/2019,F99,1.2,0.1,11,0.8,ft_s,,,,
Model FP III,4/29/2019,F99,1.3,0.1,8,0.6,ft_s,,,,
Model FP III,4/29/2019,F99,1.4,0.1,7,0.8,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,1.5,0.1,9.5,1,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,1.6,0.1,11.5,1.1,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,1.7,0.1,13.5,1.2,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,1.8,0.1,13.5,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,1.9,0.1,17,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,2,0.1,18,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,2.1,0.1,19.5,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,2.2,0.1,19.5,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,2.3,0.1,19,0.9,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,2.4,0.1,20,1.1,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,2.5,0.1,20.5,1.2,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,2.6,0.1,21,1.1,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,2.7,0.1,20.5,1.3,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,2.8,0.1,21,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,2.9,0.1,20.5,0.9,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,3,0.1,19,0.6,ft_s,,,,"simple flow meter, working beter"
Model FP III,4/29/2019,F99,3.1,0.1,17,0.1,ft_s,,,,
Model FP III,4/29/2019,F99,3.2,0.1,15.5,0,ft_s,,,,
Model FP III,4/29/2019,F99,3.3,0.1,10,0,ft_s,,,,
Model FP III,4/29/2019,F99,3.4,0.1,6.5,0,ft_s,,,,"simple flowmeter, potentially below threshold"
Model FP III,4/29/2019,F99,3.5,0.1,3,0,ft_s,,,,
Model FP III,4/29/2019,F99,3.6,0.1,0,0,ft_s,,,,
Model FP III,4/29/2019,F100,0,0.1,0,0,ft_s,,,,
Model FP III,4/29/2019,F100,0.1,0.1,4.5,0.9,ft_s,,,,"simple flowmeter, not fully submerged"
Model FP III,4/29/2019,F100,0.2,0.1,5,1.5,ft_s,,,,
Model FP III,4/29/2019,F100,0.3,0.1,6,0.8,ft_s,,,,
Model FP III,4/29/2019,F100,0.4,0.1,5.5,0,ft_s,,,,"simple flowmeter, behind a root"
Model FP III,4/29/2019,F100,0.5,0.1,2,0,ft_s,,,,
Model FP III,4/29/2019,F100,0.6,0.1,6.5,2.1,ft_s,,,,
Model FP III,4/29/2019,F100,0.7,0.1,6,0.6,ft_s,,,,
Model FP III,4/29/2019,F100,0.8,0.1,0,0,ft_s,,,,
Model FP III,4/29/2019,F100,0.9,0.1,4,0.9,ft_s,,,,"simple flowmeter, not fully submerged"
Model FP III,4/29/2019,F100,1,0.1,7,0.6,ft_s,,,,
Model FP III,4/29/2019,F100,1.1,0.1,8,1.5,ft_s,,,,
Model FP III,4/29/2019,F100,1.2,0.1,13.5,1.7,ft_s,,,,
Model FP III,4/29/2019,F100,1.3,0.1,11,1.9,ft_s,,,,
Model FP III,4/29/2019,F100,1.4,0.1,10.5,1.5,ft_s,,,,
Model FP III,4/29/2019,F100,1.5,0.1,9,0.9,ft_s,,,,
Model FP III,4/29/2019,F100,1.6,0.1,5,0,ft_s,,,,"simple flowmeter, not deep enough"
Model FP III,4/29/2019,F100,1.7,0.1,2.5,0,ft_s,,,,"simple flowmeter, not deep enough"
Model FP III,4/29/2019,F100,1.8,0.1,8.5,2.1,ft_s,,,,
Model FP III,4/29/2019,F100,1.9,0.1,8,3,ft_s,,,,
Model FP III,4/29/2019,F100,2,0.1,8.5,2.1,ft_s,,,,
Model FP III,4/29/2019,F100,2.1,0.1,6.5,3.4,ft_s,,,,
Model FP III,4/29/2019,F100,2.2,0.1,6.5,1.9,ft_s,,,,
Model FP III,4/29/2019,F100,2.3,0.1,9,3.2,ft_s,,,,
Model FP III,4/29/2019,F100,2.4,0.1,6,3,ft_s,,,,
Model FP III,4/29/2019,F100,2.5,0.1,8.5,3.2,ft_s,,,,
Model FP III,4/29/2019,F100,2.6,0.1,14,3.4,ft_s,,,,
Model FP III,4/29/2019,F100,2.7,0.1,8.5,3.8,ft_s,,,,
Model FP III,4/29/2019,F100,2.8,0.1,14,3.4,ft_s,,,,
Model FP III,4/29/2019,F100,2.9,0.1,8.5,2.3,ft_s,,,,
Model FP III,4/29/2019,F100,3,0.1,14,0.4,ft_s,,,,
Model FP III,4/29/2019,F100,3.1,0.1,15,0.6,ft_s,,,,
Model FP III,4/29/2019,F100,3.2,0.1,8,0.9,ft_s,,,,
Model FP III,4/29/2019,F100,3.3,0.1,13,0,ft_s,,,,
Model FP III,4/29/2019,F100,3.4,0.1,0,0.4,ft_s,,,,
Model FP III,4/29/2019,F100,3.5,0.1,12,0,ft_s,,,,
Model FP III,4/29/2019,F100,3.6,0.1,5,0,ft_s,,,,
Model FP III,4/29/2019,F100,3.7,0.1,4,0,ft_s,,,,
Model FP III,4/29/2019,F100,3.8,0.1,2,0,ft_s,,,,
Model FP III,4/29/2019,F101,0.1,0.1,10,0,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,0.2,0.1,11,0.9,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,0.3,0.1,9,2.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,0.4,0.1,2.5,1.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,0.5,0.1,7,1.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,0.6,0.1,6,0.6,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,0.7,0.1,10.5,2.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,0.8,0.1,9,2.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,0.9,0.1,11,1.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,1,0.1,9,0.2,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,1.1,0.1,8.5,0.9,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,1.2,0.1,1.5,0.8,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,1.3,0.1,5,1.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,1.4,0.1,6.5,1.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,1.5,0.1,5.5,2.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,1.6,0.1,9,1.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,1.7,0.1,13,2.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,1.8,0.1,12,2.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,1.9,0.1,10,2.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,2,0.1,8.5,1.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,2.1,0.1,11.5,1.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,2.2,0.1,12,2.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,2.3,0.1,13,1.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,2.4,0.1,1,0,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,2.5,0.1,1,0,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,2.6,0.1,6,1.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,2.7,0.1,6,1.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,2.8,0.1,8,0.9,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,2.9,0.1,10.5,2.7,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,3,0.1,11,2.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,3.1,0.1,6,1.7,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,3.2,0.1,6,1.7,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,3.3,0.1,9,1.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,3.4,0.1,4,0.8,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,3.5,0.1,6,0,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,3.6,0.1,0,0,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,3.7,0.1,6,0.8,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,3.8,0.1,7,0.8,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,3.9,0.1,4.5,0.2,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,4,0.1,0,0,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,4.1,0.1,7,0.8,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,4.2,0.1,10,1.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,4.3,0.1,6,1.9,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F101,4.4,0.1,4,1.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,4/29/2019,F102,0,0.1,0,0,ft_s,,,,
Model FP III,4/29/2019,F102,0.1,0.1,2,0,ft_s,,,,
Model FP III,4/29/2019,F102,0.2,0.1,6,0,ft_s,,,,
Model FP III,4/29/2019,F102,0.3,0.1,6,0,ft_s,,,,
Model FP III,4/29/2019,F102,0.4,0.1,6.5,0,ft_s,,,,
Model FP III,4/29/2019,F102,0.5,0.1,9,1.1,ft_s,,,,
Model FP III,4/29/2019,F102,0.6,0.1,10.5,1.5,ft_s,,,,
Model FP III,4/29/2019,F102,0.7,0.1,11.5,1.1,ft_s,,,,
Model FP III,4/29/2019,F102,0.8,0.1,11,1.7,ft_s,,,,
Model FP III,4/29/2019,F102,0.9,0.1,10,1.5,ft_s,,,,
Model FP III,4/29/2019,F102,1,0.1,9.5,1.7,ft_s,,,,
Model FP III,4/29/2019,F102,1.1,0.1,11,1.7,ft_s,,,,
Model FP III,4/29/2019,F102,1.2,0.1,13,1.3,ft_s,,,,
Model FP III,4/29/2019,F102,1.3,0.1,11,0.9,ft_s,,,,
Model FP III,4/29/2019,F102,1.4,0.1,11.5,1.5,ft_s,,,,
Model FP III,4/29/2019,F102,1.5,0.1,12,1.3,ft_s,,,,
Model FP III,4/29/2019,F102,1.6,0.1,12,1.1,ft_s,,,,
Model FP III,4/29/2019,F102,1.7,0.1,13,0.8,ft_s,,,,
Model FP III,4/29/2019,F102,1.8,0.1,15,0.9,ft_s,,,,
Model FP III,4/29/2019,F102,1.9,0.1,12,0.2,ft_s,,,,Rock upstream
Model FP III,4/29/2019,F102,2,0.1,14,1.3,ft_s,,,,
Model FP III,4/29/2019,F102,2.1,0.1,12.5,0.9,ft_s,,,,
Model FP III,4/29/2019,F102,2.2,0.1,11.5,0.8,ft_s,,,,
Model FP III,4/29/2019,F102,2.3,0.1,9.5,1.3,ft_s,,,,
Model FP III,4/29/2019,F102,2.4,0.1,11,1.1,ft_s,,,,
Model FP III,4/29/2019,F102,2.5,0.1,12.5,1.1,ft_s,,,,
Model FP III,4/29/2019,F102,2.6,0.1,3,0.6,ft_s,,,,
Model FP III,4/29/2019,F102,2.7,0.1,11,0.6,ft_s,,,,
Model FP III,4/29/2019,F102,2.8,0.1,11,0.6,ft_s,,,,
Model FP III,4/29/2019,F102,2.9,0.1,10,0.6,ft_s,,,,
Model FP III,4/29/2019,F102,3,0.1,11,0.6,ft_s,,,,
Model FP III,4/29/2019,F102,3.1,0.1,12,0.6,ft_s,,,,
Model FP III,4/29/2019,F102,3.2,0.1,12,0.5,ft_s,,,,
Model FP III,4/29/2019,F102,3.3,0.1,12,0.4,ft_s,,,,
Model FP III,4/29/2019,F102,3.4,0.1,11.5,0.2,ft_s,,,,
Model FP III,4/29/2019,F102,3.5,0.1,11,0,ft_s,,,,
Model FP III,4/29/2019,F102,3.6,0.1,4,0,ft_s,,,,
Model FP III,4/29/2019,F01 Section 1,0.25,0.25,9,1.7,ft_s,,,,"First heading would be 0,0,0 but there was no row for the values in data table"
Model FP III,4/29/2019,F01 Section 1,0.5,0.25,9,1.7,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 1,0.75,0.25,8,1.7,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 1,1,0.25,8.5,1.1,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 1,1.25,0.25,8.5,1.5,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 1,1.5,0.25,8.5,1.7,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 1,1.75,0.25,8,1.7,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 1,2,0.25,8,1.5,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 1,2.25,0.25,8.5,1.5,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 1,2.5,0.25,8,1.7,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 1,2.75,0.25,8.5,2.3,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 1,3,0.25,8,2.7,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 1,3.25,0.25,6.5,1.7,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 1,3.26,0.25,0,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 2,0,0.25,0,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 2,0.25,0.25,3.5,1.5,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,4/29/2019,F01 Section 2,0.5,0.25,3.5,1.5,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
